                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89145,                 1.2109,                 1.2175,                0.77574,                0.64828,                0.80719,                0.69055,                 0.7218,                 1.0789,                 1.0757,             0.00053932,             0.00053932,             0.00053932
                      2,                0.66926,                0.89242,                 1.0472,                0.64499,                0.70475,                0.77483,                0.62202,                0.81722,                 1.2287,                 1.1151,              0.0010841,              0.0010841,              0.0010841
                      3,                0.65917,                0.89312,                 1.0261,                0.78783,                0.77029,                0.87812,                0.72173,                0.69471,                0.91911,                0.97118,               0.001618,               0.001618,               0.001618
                      4,                0.66116,                0.82807,                  1.014,                0.60037,                0.74167,                0.74602,                0.61298,                0.90006,                 1.3158,                 1.2156,              0.0016175,              0.0016175,              0.0016175
                      5,                0.66447,                0.82838,                 1.0195,                0.77824,                0.78935,                0.81275,                0.67387,                0.72301,                0.98148,                 1.0687,               0.001601,               0.001601,               0.001601
                      6,                 0.6329,                0.77075,                 1.0011,                0.69571,                0.70659,                0.82528,                0.69922,                0.73043,                 1.1896,                 1.0183,              0.0015845,              0.0015845,              0.0015845
                      7,                0.61259,                0.74101,                0.98897,                0.72148,                0.80768,                0.88198,                0.77835,                0.60138,                0.91414,                0.95846,               0.001568,               0.001568,               0.001568
                      8,                0.62204,                 0.7319,                0.98516,                0.81881,                0.72836,                0.84202,                0.67551,                0.87321,                 1.0446,                 1.2092,              0.0015515,              0.0015515,              0.0015515
                      9,                 0.6166,                0.72598,                0.98785,                0.73456,                0.65743,                0.84877,                 0.6821,                0.71432,                  1.175,                 1.0363,               0.001535,               0.001535,               0.001535
                     10,                 0.6005,                0.73541,                0.99438,                0.86985,                0.80833,                0.89712,                0.76165,                 0.7471,                0.79458,                 1.0358,              0.0015185,              0.0015185,              0.0015185
                     11,                0.55788,                0.68182,                0.97523,                0.89478,                0.84389,                0.89982,                0.78698,                 0.6566,                0.73037,                0.99206,               0.001502,               0.001502,               0.001502
                     12,                0.56518,                0.66707,                0.96335,                0.83882,                0.83465,                0.91219,                0.81595,                0.56904,                0.74651,                0.95303,              0.0014855,              0.0014855,              0.0014855
                     13,                0.51984,                0.61851,                 0.9502,                0.90529,                0.89857,                0.92957,                0.81782,                0.64162,                0.63259,                0.97369,               0.001469,               0.001469,               0.001469
                     14,                0.50974,                0.61194,                0.94866,                0.89563,                0.88967,                0.91222,                0.78161,                0.61146,                0.70482,                0.97919,              0.0014525,              0.0014525,              0.0014525
                     15,                0.51702,                0.61783,                0.93252,                0.75721,                0.60601,                0.75043,                0.62733,                0.75557,                 1.5784,                 1.0723,               0.001436,               0.001436,               0.001436
                     16,                0.53969,                0.62145,                0.96462,                0.48682,                0.43588,                0.41093,                0.26264,                 1.8924,                  2.517,                 2.3949,              0.0014195,              0.0014195,              0.0014195
